No of Nodes,Duration,Throughput,Avg Throughout,Avg Latency
Raft 0 Proxiy Servers,25,89215,100000,1.1208877430925293,0.89183
25,84387,100000,1.1850166494839252,0.8434

Raft 2 Proxiy Servers,25,97065,100000,1.0302374697367744,0.97034
25,89085,100000,1.122523432676657,0.89052

Raft 3 Proxiy Servers,25,54313,100000,1.841179828033804,0.54276
Raft 4 Proxiy Servers,25,52155,100000,1.9173617102866456,0.52121

Raft 2 Proxiy Servers,10,37873,100000,2.6404034536477172,0.37807
10,29194,100000,3.4253613756251284,0.29136
10,29890,100000,3.345600535296086,0.29852

Raft 2 Proxiy Servers,15,51666,100000,1.935508845275423,0.51623
Raft 2 Proxiy Servers,20,65555,100000,1.5254366562428494,0.6551
